"date","price"
"2016-01-23",4540
"2016-01-24",4540
"2016-01-25",4550
"2016-01-26",4580
"2016-01-27",4630
"2016-01-28",4630
"2016-01-29",4610
"2016-01-30",4600
"2016-01-31",4600
"2016-02-01",4610
"2016-02-02",4620
"2016-02-03",4640
"2016-02-04",4660
"2016-02-05",4680
"2016-02-06",4720
"2016-02-15",4930
"2016-02-16",4830
"2016-02-17",4850
"2016-02-18",4870
"2016-02-19",4930
"2016-02-22",4930
"2016-02-23",4920
"2016-02-24",4960
"2016-02-25",4980
"2016-02-26",4990
"2016-02-27",4920
"2016-02-28",4920
"2016-02-29",4940
"2016-03-01",5000
"2016-03-02",4940
"2016-03-03",4950
"2016-03-04",5000
"2016-03-05",4990
"2016-03-06",4990
"2016-03-07",4990
"2016-03-08",5020
"2016-03-09",5000
"2016-03-10",5000
"2016-03-11",5060
"2016-03-12",4990
"2016-03-13",4990
"2016-03-14",4980
"2016-03-15",4930
"2016-03-16",4930
"2016-03-17",4970
"2016-03-18",4980
"2016-03-19",4960
"2016-03-20",4960
"2016-03-21",4950
"2016-03-22",4930
"2016-03-23",4950
"2016-03-24",4880
"2016-03-25",4880
"2016-03-26",4880
"2016-03-27",4880
"2016-03-28",4880
"2016-03-29",4900
"2016-03-30",4940
"2016-03-31",4880
"2016-04-01",4880
"2016-04-02",4860
"2016-04-03",4860
"2016-04-04",4860
"2016-04-05",4890
"2016-04-06",4890
"2016-04-07",4880
"2016-04-08",4920
"2016-04-09",4920
"2016-04-10",4920
"2016-04-11",4960
"2016-04-12",4960
"2016-04-13",4960
"2016-04-14",4910
"2016-04-15",4890
"2016-04-16",4910
"2016-04-17",4910
"2016-04-18",4920
"2016-04-19",4900
"2016-04-20",4950
"2016-04-21",4940
"2016-04-22",4950
"2016-04-23",4910
"2016-04-24",4910
"2016-04-25",4910
"2016-04-26",4920
"2016-04-27",4940
"2016-04-28",4940
"2016-04-29",5020
"2016-04-30",5090
"2016-05-01",5090
"2016-05-02",5060
"2016-05-03",5080
"2016-05-04",5060
"2016-05-05",5050
"2016-05-06",5050
"2016-05-07",5080
"2016-05-08",5080
"2016-05-09",5090
"2016-05-10",5030
"2016-05-11",5050
"2016-05-12",5050
"2016-05-13",5040
"2016-05-14",5050
"2016-05-15",5050
"2016-05-16",5070
"2016-05-17",5070
"2016-05-18",5070
"2016-05-19",5040
"2016-05-20",5040
"2016-05-21",5040
"2016-05-22",5040
"2016-05-23",5030
"2016-05-24",5020
"2016-05-25",4950
"2016-05-26",4980
"2016-05-27",4890
"2016-05-28",4890
"2016-05-29",4890
"2016-05-30",4870
"2016-05-31",4900
"2016-06-01",4920
"2016-06-02",4900
"2016-06-03",4900
"2016-06-04",4940
"2016-06-05",4940
"2016-06-06",4950
"2016-06-07",4950
"2016-06-08",4940
"2016-06-09",4980
"2016-06-10",5000
"2016-06-11",5010
"2016-06-12",5010
"2016-06-13",5050
"2016-06-14",5060
"2016-06-15",5070
"2016-06-16",5110
"2016-06-17",5060
"2016-06-18",5100
"2016-06-19",5100
"2016-06-20",5060
"2016-06-21",5060
"2016-06-22",5000
"2016-06-23",4990
"2016-06-24",5090
"2016-06-25",5160
"2016-06-26",5160
"2016-06-27",5200
"2016-06-28",5190
"2016-06-29",5190
"2016-06-30",5150
"2016-07-01",5180
"2016-07-02",5210
"2016-07-03",5210
"2016-07-04",5250
"2016-07-05",5240
"2016-07-06",5350
"2016-07-07",5350
"2016-07-09",5340
"2016-07-10",5340
"2016-07-11",5350
"2016-07-12",5340
"2016-07-13",5270
"2016-07-14",5290
"2016-07-15",5210
"2016-07-16",5240
"2016-07-17",5240
"2016-07-18",5210
"2016-07-19",5220
"2016-07-20",5220
"2016-07-21",5180
"2016-07-22",5230
"2016-07-23",5200
"2016-07-24",5200
"2016-07-25",5200
"2016-07-26",5210
"2016-07-27",5190
"2016-07-28",5230
"2016-07-29",5230
"2016-07-30",5250
"2016-07-31",5250
"2016-08-01",5250
"2016-08-02",5230
"2016-08-03",5270
"2016-08-04",5250
"2016-08-05",5250
"2016-08-06",5190
"2016-08-07",5190
"2016-08-08",5170
"2016-08-09",5160
"2016-08-10",5180
